id,subject,tweet,favorites,date,classificacao
"9,86801053168488E+017",barbara-bush,@carridea @darph_nader people arena know underprivileged https://t.co/udfqbwtdyf,0,Thu Apr 19 02:57:59 +0000 2018,true
"9,87323105524769E+017",barbara-bush,lasting impression barbara bush comment katrina victim people https://t.co/1tqmk7dkcq,3,Fri Apr 20 13:32:26 +0000 2018,true
"9,86750534886424E+017",barbara-bush,@burnodo forget quote people home destroy hurricane katrina https://t.co/ubqy2fncpr,1,Wed Apr 18 23:37:15 +0000 2018,true
"9,87801763850809E+017",barbara-bush,"remembrance 

 hear sort scary want stay texas everybody https://t.co/t56kpx2fi0",91,Sat Apr 21 21:14:27 +0000 2018,true
"9,03528113631584E+017",harvey-donations,academy award win actress sandra bullock donate $ 1 million harvey relief https://t.co/lh4xtq6li8 https://t.co/j2p6kxma5i,3,Fri Sep 01 08:01:03 +0000 2017,true
"9,04111594912842E+017",harvey-donations,prince william harry donate $ 100 million hurricane harvey victim news360 https://t.co/vvkxkmutdc,97,Sat Sep 02 22:39:36 +0000 2017,false
"9,03336023362547E+017",harvey-donations,"celebrity donate million katrina houstonflood 
 sandra bullock donate $ 1 million harvey relief @cnn https://t.co/bqplfuwnuh",2,Thu Aug 31 19:17:45 +0000 2017,true
"9,04725019372253E+017",texas-mosque,break texas mosque refuse help refugee allah forbid help infidel imam asquat turd https://t.co/l9hy10psvf,0,Mon Sep 04 15:17:08 +0000 2017,false
"9,35577591850979E+017",fukushima-dump,japan drop tank fukushima nuclear waste directly ocean    https://t.co/scuxaoh3ds fukushima radiation nuclear,68,Tue Nov 28 18:34:14 +0000 2017,unverified
"8,97715873145913E+017",fukushima-dump,japan drop tank fukushima nuclear waste directly ocean https://t.co/20bgcizwqy    fukushima japan health,43,Wed Aug 16 07:05:17 +0000 2017,unverified
"9,3878780097495E+017",immigrants-wildfires,break illegal muslim iran arrest start california wildfire https://t.co/druotyoqzk,34,Thu Dec 07 15:10:28 +0000 2017,false
"9,4007847306161E+017",immigrants-wildfires,break illegal muslim iran arrest start california wildfire   https://t.co/sxkhr8aun7,112,Mon Dec 11 04:39:08 +0000 2017,false
"9,04762977185808E+017",inflatable-dam,brilliant texas man use massive inflatable dam save house https://t.co/xh2ppwjcpa,170,Mon Sep 04 17:47:58 +0000 2017,true
"9,05290355796533E+017",irma-cat-6,category 6 hurricane irma strong hurricane history wipe entire city map https://t.co/notqu7nmpt,42,Wed Sep 06 04:43:34 +0000 2017,false
"9,07697675184886E+017",red-cross,report red cross steal church doorstep redistribute sell item profit video https://t.co/fkfzdvigcu,21,Tue Sep 12 20:09:24 +0000 2017,false
"9,04727149747327E+017",osteen-yacht,joel osteen sail luxury yacht flood houston pass copy good life https://t.co/lnkkh1kisf @thebabylonbee,6,Mon Sep 04 15:25:36 +0000 2017,false
"9,51976286301204E+017",wildfires-deduction,"@jimpuzzanghera 

 house republican tax bill eliminate deduction personal loss wildfi https://t.co/qdlrumzkp0",17,Sat Jan 13 00:36:48 +0000 2018,true
"9,39234401681944E+017",wildfires-deduction,@kellyannepoll know heartbreaking house republican tax bill eliminate deduction pe https://t.co/j0kgpeyi0q,73,Fri Dec 08 20:45:06 +0000 2017,true
"8,72367878871409E+017",cape-tornadoes,crazy capetown capestorm weatherforecast https://t.co/3bckokrcjb,97,Wed Jun 07 08:21:24 +0000 2017,false
"8,72300483272114E+017",lawn-tornado,man mow lawn tornado say keep eye https://t.co/kksqmdu89h @timescolonist blow,1,Wed Jun 07 03:53:36 +0000 2017,true
"8,28933929080087E+017",fukushima-falling,japan declare crisis fukushima reactor begin fall ocean https://t.co/c8xtgrmxus @yournewswire,9,Tue Feb 07 11:50:24 +0000 2017,false
"9,05682058621616E+017",virgin-weapons,icymi virgin island allow national guard seize gun ammo ahead hurricane irma https://t.co/a1ncbfbl3i,11,Thu Sep 07 06:40:04 +0000 2017,true
"9,05541650541421E+017",virgin-weapons,"looter 
 virgin islands allow national guard seize gun ammo ahead hurricane irma https://t.co/irisumav4c",9,Wed Sep 06 21:22:08 +0000 2017,true
"9,05590451876635E+017",virgin-weapons,virgin islands allow national guard seize gun ammo ahead hurricane irma daily caller https://t.co/dlloqfxbng,1,Thu Sep 07 00:36:03 +0000 2017,true
"9,06170027937849E+017",virgin-weapons,"virgin islands allow national guard seize gun ammo ahead hurricane irma 
 https://t.co/8e4vvtphyr",2,Fri Sep 08 14:59:05 +0000 2017,true
"9,19231965471105E+017",mississippi-dry,mississippi river go dry https://t.co/trbmj4cxdu,13,Sat Oct 14 16:02:33 +0000 2017,false
"8,92781499103277E+017",lightning-river,bet see rare natural phenomenon lighting hit river sight incredible https://t.co/igtitggwlr,97,Wed Aug 02 16:17:51 +0000 2017,false
"8,97502435593265E+017",ark-park,noah ark theme park destroy flood https://t.co/yjptma5vfh,14,Tue Aug 15 16:57:10 +0000 2017,false
"9,1468427647771E+017",cnn-lies,"jim bates actually live puerto rico 
 get help army navy fema minister   celebrity 
 turn https://t.co/t6hmxwmfgx",2362,Mon Oct 02 02:51:40 +0000 2017,unverified
"9,14582144952996E+017",cnn-lies,"jim bates puerto rico say 
   army navy   fema help say 
     ---cnn lies!!!!------",11,Sun Oct 01 20:05:50 +0000 2017,unverified
"7,84118929799074E+017",clinton-ads,"clinton camp delay weather channel ad buy backlash |   https://t.co/i46axgvriv 

 shame",21,Thu Oct 06 19:51:35 +0000 2016,true
"7,84316107645604E+017",clinton-ads,reverse course clinton camp delay weather channel ad buy backlash https://t.co/mof43lnjec,35,Fri Oct 07 08:55:06 +0000 2016,true
"7,84071228248109E+017",clinton-ads,clinton camp delay weather channel ad buy backlash   https://t.co/50vbj38x5f @finnygo @jengriffinfnc https://t.co/kfv9qzjgnf,95,Thu Oct 06 16:42:02 +0000 2016,true
"7,84216706080178E+017",clinton-ads,clinton camp delay weather channel ad buy backlash https://t.co/dbpotkrljb https://t.co/xqc6lzoask,81,Fri Oct 07 02:20:07 +0000 2016,true
"9,0560046516081E+017",obama-harvey,wtf   see harvey flooding uncover secret stash ammo hide obama administration   https://t.co/lalz1xycx5,24,Thu Sep 07 01:15:50 +0000 2017,false
"9,3471507175782E+017",nat-geo-footage,"national geographic channel pay $ 1 million daring video 👌 
 @lalitkmodi https://t.co/ke6x2uis87",121,Sun Nov 26 09:26:53 +0000 2017,false
"9,44339600998326E+017",nat-geo-footage,national geographic channel reportedly pay $ 1 million daring video https://t.co/2owtsf01yr,403,Fri Dec 22 22:51:20 +0000 2017,false
"9,34828842505724E+017",nat-geo-footage,"@kenyantraffic national geographic channel pay $ 1 million daring video 👌 
 @lalitkmodi https://t.co/cdbjf65bkg",656,Sun Nov 26 16:58:58 +0000 2017,false
"9,41305217454404E+017",nat-geo-footage,national geographic channel pay    $ 1 million daring video https://t.co/fvzsf7dwrr,81,Thu Dec 14 13:53:47 +0000 2017,false
"4,43938194715714E+017",african-american,rep sheila jackson lee shame laugh insistence year ago hurricane african american sounding name,17,Thu Mar 13 02:34:48 +0000 2014,true
"9,09084965035487E+017",african-american,2003 houston u.s rep sheila jackson lee begin call hurricane african american name agree,2,Sat Sep 16 16:02:00 +0000 2017,true
"7,74165935041094E+017",african-american,"icymi rep sheila jackson lee d tx want hurricane give african american name 
 https://t.co/iarnwxdisa https://t.co/uaana55ya9",64,Fri Sep 09 08:41:56 +0000 2016,true
"9,4584519469976E+017",pence-sacrifice,mike pence disappoint god ask kill child https://t.co/u3yc2q2fbb ourannualyear https://t.co/ynjfa4rzar,7213,Wed Dec 27 02:34:02 +0000 2017,false
"8,30469481621242E+017",pence-sacrifice,mike pence disappoint god ask kill child https://t.co/z4ge5uhuvi https://t.co/4twownt2 kb,5454,Sat Feb 11 17:32:08 +0000 2017,false
"8,52844529778602E+017",afghanistan,break pentagon release video mother bomb drop afghanistan https://t.co/gaxwhpwdmb,154,Fri Apr 14 11:22:35 +0000 2017,false
"9,10121722149528E+017",clinton-florida,hillary catch tape laugh irma wipe florida hillbilly https://t.co/zt2y5blmmp,9,Tue Sep 19 12:41:42 +0000 2017,false
"9,10024540578869E+017",clinton-florida,hillary catch tape laugh irma wipe florida hillbillies https://t.co/mwu8xxsud2,26,Tue Sep 19 06:15:32 +0000 2017,false
"9,09982405167067E+017",clinton-florida,hillary catch tape laugh irma wipe florida hillbilly,21,Tue Sep 19 03:28:06 +0000 2017,false
"9,02224586967622E+017",shark-hurricane,wtf rt @jeggit believe shark freeway houston texas hurricaneharvy https://t.co/vpikg0zguv,309,Mon Aug 28 17:41:18 +0000 2017,false
"9,02134516575347E+017",shark-hurricane,"unreal 
 rt@invisibleman_17 
 believe shark freeway houston texas hurricaneharvy https://t.co/x6nnayuy7o",156,Mon Aug 28 11:43:24 +0000 2017,false
"9,02542822540173E+017",shark-hurricane,break believe shark freeway houston texas hurricaneharvy   retweet sp https://t.co/uzwwhx5r9 t,12,Tue Aug 29 14:45:51 +0000 2017,false
"9,02595384635044E+017",shark-hurricane,"start day 
 @jeggit 
 believe shark freeway houston texas hurricaneharvy https://t.co/7qghgjppui",3,Tue Aug 29 18:14:43 +0000 2017,false
"9,04200288059494E+017",fire-ants,deal clump float fire ant houston https://t.co/2ii8zcmbks https://t.co/aflwekm7ia,69,Sun Sep 03 04:32:02 +0000 2017,true
"9,01939374375371E+017",blm-hurricane,black live matter thug block emergency crew reach hurricane victim https://t.co/96736y5uqx @shareaholic,38,Sun Aug 27 22:47:58 +0000 2017,false
"9,0516121927494E+017",blm-hurricane,black live matter thug block emergency crew reach hurricane victim bossfeed      ma4 t   https://t.co/cmjieme82c,98,Tue Sep 05 20:10:26 +0000 2017,false
"9,02006921523331E+017",blm-hurricane,black live matter thug block emergency crew reach hurricane victim https://t.co/subddfvbl7 @shareaholic,9,Mon Aug 28 03:16:23 +0000 2017,false
